label,algorithm,r,c,has_key,energy,visits,vi_action,agent_action,q_star_vi_action,q_star_agent_action,action_gap,agent_q_values
penalty_adjacent,sarsa_lambda,12,10,1,57,3303,1,2,94.308,84.05,10.258,27.32 27.17 33.39 23.84
near_tie,q_learning,15,15,1,38,811,1,3,180.999,180.999,0.0,89.17 101.68 98.31 166.38
low_energy,q_learning,12,9,0,14,23,3,2,76.786,29.978,46.808,1.65 -0.09 13.21 5.11
