gamma,iterations,runtime_seconds,converged,v_start,eval_episodes,success_rate,mean_return,mean_steps_when_successful,policy_agreement_vs_ref,ref_gamma
0.9,80,0.0543,True,-9.7785,500,1.0,191.7,43.34,0.9781,0.95
0.95,91,0.0333,True,9.6204,500,1.0,191.74,43.34,1.0,0.95
0.99,103,0.0329,True,119.3924,500,1.0,192.32,43.59,0.9673,0.95
