episode,q_up,q_down,q_left,q_right,greedy_action
0,-1.8026,-2.5782,-0.4347,-1.5149,2
100,-1.7223,3.9112,12.8386,-1.5765,2
500,-2.5626,-2.8132,-3.8379,-2.6049,0
1000,-3.9555,-3.9311,-5.4012,-4.0526,1
2500,-5.1267,-5.8402,-6.178,-5.0501,3
5000,-5.1819,-5.8402,-6.178,-5.1337,3
target_optimal,32.8027,27.5658,20.4207,34.8183,3
