episode,step,r,c,has_key,phase,action,reward,next_r,next_c,next_has_key,next_phase,events,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
2500,40,11,9,0,3,1,-1.0,11,8,0,4,move,93.752706,90.47089,84.947346,-8.80536,92.87217,0.1,0.95,0.1538
2500,41,11,8,0,4,3,-1.0,11,9,0,5,move,90.47089,97.481086,91.607032,1.136141,90.584505,0.1,0.95,0.1538
2500,42,11,9,0,5,1,-1.0,12,9,0,0,move,97.481086,107.818504,101.427578,3.946493,97.875735,0.1,0.95,0.1538
2500,43,12,9,0,0,3,49.0,12,10,1,1,key_pickup,107.818504,71.020676,116.469642,8.651139,108.683617,0.1,0.95,0.1538
2500,44,12,10,1,1,1,-1.0,13,10,1,2,move,71.020676,78.906615,73.961285,2.940609,71.314737,0.1,0.95,0.1538
2500,45,13,10,1,2,1,-1.0,14,10,1,3,move,78.906615,89.275696,83.811911,4.905296,79.397145,0.1,0.95,0.1538
2500,46,14,10,1,3,3,-1.0,14,11,1,4,move,89.275696,98.354723,92.436987,3.161291,89.591825,0.1,0.95,0.1538
2500,47,14,11,1,4,1,-1.0,15,11,1,5,move,98.354723,107.02788,100.676486,2.321763,98.586899,0.1,0.95,0.1538
2500,48,15,11,1,5,3,-1.0,15,12,1,0,move,107.02788,118.323171,111.407013,4.379132,107.465794,0.1,0.95,0.1538
2500,49,15,12,1,0,0,-1.0,14,12,1,1,move,118.323171,126.811191,119.470631,1.14746,118.437917,0.1,0.95,0.1538
2500,50,14,12,1,1,3,-1.0,14,13,1,2,door_pass,126.811191,143.807989,135.617589,8.806399,127.69183,0.1,0.95,0.1538
2500,51,14,13,1,2,3,-6.0,14,13,1,3,wall_hit,143.807989,143.619702,130.438717,-13.369272,142.471061,0.1,0.95,0.1538
2500,52,14,13,1,3,3,-1.0,14,14,1,4,move,143.619702,155.49054,146.716013,3.096311,143.929333,0.1,0.95,0.1538
2500,53,14,14,1,4,1,-1.0,15,14,1,5,move,155.49054,166.084021,156.77982,1.28928,155.619468,0.1,0.95,0.1538
2500,54,15,14,1,5,1,-6.0,15,14,1,0,wall_hit,166.084021,165.974337,151.67562,-14.408401,164.64318,0.1,0.95,0.1538
2500,55,15,14,1,0,3,-1.0,15,15,1,1,move,165.974337,179.875786,169.881996,3.90766,166.365103,0.1,0.95,0.1538
2500,56,15,15,1,1,1,-1.0,16,15,1,2,move,179.875786,190.767387,180.229017,0.353232,179.911109,0.1,0.95,0.1538
2500,57,16,15,1,2,3,199.0,16,16,1,3,goal_reached,190.767387,0.0,199.0,8.232613,191.590648,0.1,0.95,0.1538
